vf,participantId,rbase,approach,jnd_50_r,jnd_50,jnd_r
ellipse_minor,ie1h571a,0.3,above,0.110243728,20.76701446,0.113333333
ellipse_minor,ie1h571a,0.3,below,0.088129059,15.3564493,0.091666667
conf_bounding_box_perp,ie1h57n5,0.3,above,0.110225196,16.22095322,0.128333333
conf_bounding_box_perp,ie1h57n5,0.3,below,0.125457812,17.79153107,0.123333333
conf_bounding_box_perp,ie1h57n5,0.6,above,0.053593341,9.012100091,0.03875
conf_bounding_box_perp,ie1h57n5,0.6,below,0.054268831,10.24540645,0.056666667
dist_line_sd,ie1h57n5,0.3,above,0.110225196,2.32137091,0.128333333
dist_line_sd,ie1h57n5,0.3,below,0.125457812,2.911037609,0.123333333
dist_line_sd,ie1h57n5,0.6,above,0.053593341,1.548829529,0.03875
dist_line_sd,ie1h57n5,0.6,below,0.054268831,1.93107675,0.056666667
ellipse_area,ie1h57n5,0.3,above,0.110225196,3073.735739,0.128333333
ellipse_area,ie1h57n5,0.3,below,0.125457812,2147.84168,0.123333333
ellipse_area,ie1h57n5,0.6,above,0.053593341,3150.884579,0.03875
ellipse_area,ie1h57n5,0.6,below,0.054268831,2683.056113,0.056666667
ellipse_minor,ie1h57n5,0.3,above,0.110225196,20.84274868,0.128333333
ellipse_minor,ie1h57n5,0.3,below,0.125457812,21.60320035,0.123333333
ellipse_minor,ie1h57n5,0.6,above,0.053593341,13.39157344,0.03875
ellipse_minor,ie1h57n5,0.6,below,0.054268831,12.46800349,0.056666667
conf_bounding_box_perp,ie1h59cy,0.6,above,0.105889644,20.2255,0.118333333
conf_bounding_box_perp,ie1h59cy,0.6,below,0.144082611,21.67860043,0.158333333
conf_bounding_box_perp,ie1h59cy,0.3,above,0.17930374,26.39660974,0.175
conf_bounding_box_perp,ie1h59cy,0.3,below,0.157719665,21.9939177,0.226666667
dist_line_sd,ie1h59cy,0.6,above,0.105889644,3.399798523,0.118333333
dist_line_sd,ie1h59cy,0.6,below,0.144082611,3.563993706,0.158333333
dist_line_sd,ie1h59cy,0.3,above,0.17930374,3.573105132,0.175
dist_line_sd,ie1h59cy,0.3,below,0.157719665,3.588246341,0.226666667
ellipse_area,ie1h59cy,0.6,above,0.105889644,6653.343388,0.118333333
ellipse_area,ie1h59cy,0.6,below,0.144082611,6375.938245,0.158333333
ellipse_area,ie1h59cy,0.3,above,0.17930374,5480.811555,0.175
