participantId,rbase,approach,jnd_50_r,jnd_r
ie1m0skm,0.7,above,0.052535509,0.045833333
ie1m0skm,0.7,below,0.056232194,0.051666667
ie1m0skm,0.4,above,0.086068264,0.095
ie1m0skm,0.4,below,0.154255716,0.113333333
ie1m0t5t,0.4,above,0.152122082,0.115
ie1m0t5t,0.4,below,0.34981474,0.388333333
ie1m0t5t,0.7,above,0.200954936,0.21625
ie1m0t5t,0.7,below,0.124849691,0.126666667
ie1m0u01,0.4,above,0.112489693,0.07
ie1m0u01,0.4,below,0.155663827,0.151666667
ie1m0u01,0.7,above,0.055384208,0.035416667
ie1m0u01,0.7,below,0.120223832,0.13
ie1m1245,0.7,above,0.061905777,0.066666667
ie1m1245,0.7,below,0.075582338,0.085
ie1m1245,0.4,above,0.080208221,0.088333333
ie1m1245,0.4,below,0.145609357,0.21
ie1m13o1,0.4,above,0.07369905,0.04125
ie1m13o1,0.4,below,0.093581168,0.105
ie1m13o1,0.7,above,0.054708515,0.065
ie1m13o1,0.7,below,0.042217539,0.025416667
ie1m1h3b,0.7,above,0.060844108,0.088333333
ie1m1h3b,0.7,below,0.065360569,0.078333333
ie1m1h3b,0.4,above,0.072835655,0.09
ie1m1h3b,0.4,below,0.114125247,0.13
ie1m2czr,0.4,above,0.051098414,0.071666667
ie1m2czr,0.4,below,0.219742709,0.263333333
ie1m2czr,0.7,above,0.038813024,0.0225
ie1m2czr,0.7,below,0.031273469,0.032916667
ie1m2yfu,0.4,above,0.17036526,0.173333333
ie1m2yfu,0.4,below,0.223221366,0.258333333
ie1m2yfu,0.7,above,0.094594576,0.068333333
ie1m2yfu,0.7,below,0.108294204,0.111666667
ie1m4c7e,0.7,above,0.037489028,0.0275
ie1m4c7e,0.7,below,0.04463381,0.056666667
ie1m4c7e,0.4,above,0.136233167,0.135
ie1m4c7e,0.4,below,0.152793781,0.175
ie1m4smk,0.7,above,0.028369372,0.036666667
ie1m4smk,0.7,below,0.050465053,0.04625
ie1m4smk,0.4,above,0.054371225,0.039166667
ie1m4smk,0.4,below,0.075521598,0.061666667
ie1m6br3,0.7,above,0.035056707,0.02125
ie1m6br3,0.7,below,0.037731243,0.046666667
ie1m6br3,0.4,above,0.091626741,0.128333333
ie1m6br3,0.4,below,0.100388167,0.103333333
ie1m6gbv,0.4,above,0.112385491,0.123333333
ie1m6gbv,0.4,below,0.236915735,0.31
ie1m6gbv,0.7,above,0.059794968,0.051666667
ie1m6gbv,0.7,below,0.083100911,0.09
ie1mbab1,0.7,above,0.036239642,0.037083333
ie1mbab1,0.7,below,0.050772795,0.03375
ie1mbab1,0.4,above,0.062911452,0.093333333
ie1mbab1,0.4,below,0.082290586,0.11
ie1meeep,0.4,above,0.05705091,0.06125
ie1meeep,0.4,below,0.130626844,0.136666667
ie1meeep,0.7,above,0.078628204,0.06
ie1meeep,0.7,below,0.06128235,0.029583333
ie1mimzy,0.7,above,0.048119705,0.032083333
ie1mimzy,0.7,below,0.034413532,0.0275
ie1mimzy,0.4,above,0.080097851,0.098333333
ie1mimzy,0.4,below,0.0855188,0.093333333
ie1mjd11,0.4,above,0.088346298,0.111666667
ie1mjd11,0.4,below,0.091876044,0.11
ie1mjd11,0.7,above,0.04320903,0.043333333
ie1mjd11,0.7,below,0.042112978,0.058333333
ie1mjln1,0.4,below,0.056025384,0.048333333
ie1mjln1,0.7,above,0.042173776,0.043333333
ie1mjln1,0.7,below,0.043633253,0.058333333
ie1mjln1,0.4,above,0.066352301,0.068333333
ie1mklu9,0.4,above,0.088261326,0.085
ie1mklu9,0.4,below,0.105972502,0.103333333
